,brand,resolution,inches,panel,Tv_os,original_price,price,discount,Rating_count
287,ONIDA,Ultra HD,65,QLED,Google,"1,15,100",74990,34,83
288,Samsung,Ultra HD,55,LED,Google,54999,34100,37,2786
289,XIAOMI,Ultra HD,32,QLED,,25990,10299,60,83331
290,acerpure,Ultra HD,55,LED,Google,49999,32999,34,40
291,Blaupunkt,HD Ready,50,LED,Google,64990,30990,52,48
292,TCL,Ultra HD,55,QLED,Google,"1,07,999",49999,53,4479
293,Hisense,Ultra HD,43,LED,Google,36490,24990,31,178
294,Haier,Ultra HD,65,LED,,63999,38999,39,392
295,Coocaa,Ultra HD,50,LED,Google,72900,51990,28,718
296,SONY,Ultra HD,24,QLED,Google,14999,6599,56,31004
297,MarQ,Ultra HD,43,LED,Google,54990,27690,49,3860
298,TCL,HD Ready,55,LED,,53999,30999,42,644
299,TOSHIBA,Ultra HD,24,QLED,Google,19990,4947,75,7202
300,Uniboom,Ultra HD,75,LED,Google,"1,25,290",56999,54,4510
301,acerpure,HD Ready,50,LED,,67999,25999,61,1203
302,Acer,Ultra HD,50,QLED,Google,59999,25999,56,162
303,Hisense,Ultra HD,75,QLED,Google,98990,70999,28,6939
304,ONIDA,Ultra HD,85,QLED,,"2,99,999","1,27,490",57,23
305,TOSHIBA,Ultra HD,65,LED,Google,89999,42999,52,2077
306,TOSHIBA,Ultra HD,32,QLED,Google,24990,13590,45,2077
307,LG,Ultra HD,55,QLED,,"2,69,990","1,44,990",46,33092
308,LG,HD Ready,55,LED,WebOS,40999,26999,34,8
309,Blaupunkt,Ultra HD,65,OLED,WebOS,"1,29,900",51890,60,280
310,TCL,Ultra HD,65,QLED,,"1,59,990",58990,63,644
311,TCL,Ultra HD,65,QLED,Google,87400,57990,33,2437
312,Samsung,Ultra HD,55,QLED,Google,59800,37990,36,24665
313,Samsung,4K,50,LED,Tizen,57000,37990,33,24665
314,Samsung,4K,75,LED,Tizen,"1,29,999",65999,49,24665
315,Blaupunkt,4K,43,LED,Tizen,59900,32990,44,48
316,SONY,Ultra HD,65,QLED,Google,"1,43,990",64450,55,26583
317,TCL,Ultra HD,55,LED,Google,"2,04,900","1,29,237",36,313
